CMDLINE python src/main.py
MEM 1262.828125 1740998709.0463
MEM 1262.828125 1740998709.1515
MEM 1262.843750 1740998709.2566
MEM 1262.906250 1740998709.3617
MEM 1263.109375 1740998709.4670
MEM 1287.406250 1740998709.5699
MEM 1489.203125 1740998709.6750
MEM 1491.328125 1740998709.7801
MEM 1491.328125 1740998709.8852
MEM 1491.343750 1740998709.9903
MEM 1491.390625 1740998710.0955
MEM 1516.078125 1740998710.2008
MEM 1516.281250 1740998710.3060
MEM 1718.234375 1740998710.4069
MEM 1720.375000 1740998710.5120
MEM 1720.375000 1740998710.6171
MEM 1720.390625 1740998710.7222
MEM 1720.609375 1740998710.8276
MEM 1721.859375 1740998710.9328
MEM 1759.093750 1740998711.0373
MEM 1837.406250 1740998711.1424
MEM 1837.406250 1740998711.2475
MEM 1837.406250 1740998711.3526
MEM 1837.593750 1740998711.4577
MEM 1837.765625 1740998711.5630
MEM 1837.890625 1740998711.6681
MEM 1953.437500 1740998711.7732
MEM 1953.437500 1740998711.8783
MEM 1953.437500 1740998711.9835
MEM 1953.500000 1740998712.0886
MEM 1953.937500 1740998712.1904
MEM 1958.906250 1740998712.2956
MEM 2055.187500 1740998712.4008
MEM 2074.812500 1740998712.5059
MEM 2074.812500 1740998712.6110
MEM 2074.890625 1740998712.7161
MEM 2075.171875 1740998712.8224
MEM 2075.171875 1740998712.9278
MEM 2105.953125 1740998713.0324
MEM 2191.078125 1740998713.1375
MEM 2191.078125 1740998713.2427
MEM 2191.140625 1740998713.3479
MEM 2191.171875 1740998713.4530
MEM 2191.468750 1740998713.5583
MEM 2191.468750 1740998713.6635
MEM 2305.359375 1740998713.7686
MEM 2307.593750 1740998713.8738
MEM 2307.593750 1740998713.9789
MEM 2307.593750 1740998714.0840
MEM 2307.812500 1740998714.1871
MEM 2307.859375 1740998714.2923
MEM 2398.421875 1740998714.3972
MEM 2421.953125 1740998714.5023
MEM 2421.953125 1740998714.6074
MEM 2421.984375 1740998714.7126
MEM 2422.046875 1740998714.8176
